"Status","Name","Duration in ms","Description"
"passed","testcase.test_05.TestProcurementType#test_newly","4211",""
"passed","testcase.test_001_login.Test_Login#test_login","1364",""
"broken","testcase.test_23.TestProcurementType#test_newly","0",""
"passed","testcase.test_21.TestProcurementType#test_newly","4876",""
"passed","testcase.test_03.TestProcurementType#test_newly","4163",""
"passed","testcase.test_01.Test_UpdateRate#test_Tax","553",""
"passed","testcase.test_13.TestProcurementType#test_newly","384",""
"broken","testcase.test_008.TestProcurementType#test_newly","8",""
"passed","testcase.test_07.TestProcurementType#test_newly","197",""
"passed","testcase.test_06.TestProcurementType#test_newly","697",""
"broken","testcase.test_24.TestProcurementType#test_newly","0",""
"passed","testcase.test_28.TestProcurementType#test_newly","927",""
"passed","testcase.test_10.TestProcurementType#test_newly","484",""
"failed","testcase.test_19.TestProcurementType#test_newly","215",""
"passed","testcase.test_27.TestProcurementType#test_newly","298",""
"passed","testcase.test_02.TestNewSuppliers#test_newly","505",""
"passed","testcase.test_007.TestProcurementType#test_newly","2613",""
"passed","testcase.test_04.TestProcurementType#test_newly","427",""
"passed","testcase.test_16.TestProcurementType#test_newly","318",""
"failed","testcase.test_17.TestProcurementType#test_newly","223",""
"passed","testcase.test_18.TestProcurementType#test_newly","305",""
"failed","testcase.test_15.TestProcurementType#test_newly","230",""
"failed","testcase.test_14.TestProcurementType#test_newly","673",""
"passed","testcase.test_20.TestProcurementType#test_newly","1994",""
"passed","testcase.test_09.TestProcurementType#test_newly","715",""
"passed","testcase.test_22.TestProcurementType#test_newly","422",""
"passed","testcase.test_12.TestProcurementType#test_newly","6292",""
"passed","testcase.test_08.TestProcurementType#test_newly","335",""
"passed","testcase.test_11.TestProcurementType#test_newly","307",""
"passed","testcase.test_25.TestProcurementType#test_newly","315",""
"passed","testcase.test_26.TestProcurementType#test_newly","214",""
